Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
12,0.446240,0.149682,0.587745,0.466623,0.522459,0.446240,2215.008997,4963.717415,135.375317,904.417412,449.744512,765.203278,761.668537,1632.299927,868.220630,1661.796799,4383.656104,4383.656104,0.230103,0.461994,0.476232,0.477074,0.260869,11621628.415937,44549662.998047,8910702.650389,38724899.852539,2052549.727118,4442802.612305,521268.185518,1094567.206055,137107.852912,287393.327148,4383.656104,100.000000,
13,0.834402,0.176370,0.987990,0.974886,0.982711,0.834402,4150.062716,4973.699234,159.410460,903.840569,752.945715,762.098763,1602.905768,1644.198624,1634.800773,1663.561279,4383.740725,4383.740725,0.978198,0.962254,0.967987,0.970645,0.976324,43361099.601881,44412598.965820,37808947.453004,38651613.001465,4224250.458648,4389954.453125,1050127.408632,1084856.500977,277774.281597,286175.010254,4383.740725,100.000000,
14,0.758890,0.170023,0.918773,0.877135,0.890768,0.758890,3770.193165,4968.038490,154.286852,907.447102,697.469960,759.132160,1441.063361,1642.921310,1477.372992,1658.537918,4384.502048,4384.502048,0.863888,0.737266,0.755512,0.763880,0.848103,37705908.089632,44459119.047363,33432785.307385,38700368.705566,3235631.680928,4388689.937500,818935.303491,1083947.520020,218555.797829,286112.884277,4384.502048,100.000000,
15,0.739272,0.169307,0.904037,0.855627,0.855587,0.739272,3727.783495,5042.504292,153.855696,908.740612,691.618527,765.033043,1440.997687,1684.142441,1441.311585,1684.588196,4384.697766,4384.706172,0.829435,0.684305,0.700705,0.705642,0.810850,35711979.042817,44042622.332520,31715018.228310,38236900.520996,3027736.403019,4424540.163574,765768.035530,1092853.402344,203456.375957,288328.245605,4384.697766,100.000000,
16,0.772804,0.176684,0.934260,0.907218,0.889086,0.772804,3867.329200,5004.282692,160.353248,907.569916,711.765959,761.849724,1512.522195,1667.209793,1482.687797,1667.653259,4208.035574,4384.697766,0.890032,0.781961,0.799007,0.809709,0.876507,38972102.511492,44462977.340332,34401325.447766,38651796.286621,3462905.210647,4428486.504883,874126.927281,1094016.685547,233744.925798,288677.863281,4208.035574,100.000000,
17,0.553230,0.159012,0.648337,0.702360,0.614488,0.553230,2309.664183,4174.874992,136.119480,856.031364,463.901831,715.525421,878.714985,1251.089737,830.927886,1352.228470,4208.035574,4208.035574,0.287728,0.364667,0.364757,0.359619,0.301424,11230052.013510,37256677.754883,8805626.000622,30603979.983887,1841992.167723,5051168.731445,460982.498648,1263806.351562,121451.346517,337722.687988,4208.035574,100.000000,
18,0.772978,0.169173,0.931479,0.910198,0.890157,0.772978,3858.333548,4991.518887,152.442427,901.104996,711.239299,763.558758,1509.135759,1658.030426,1485.516064,1668.824707,4384.052737,4384.052737,0.890263,0.772377,0.792586,0.808611,0.875442,39010204.120600,44560559.747559,34435366.370448,38679981.969238,3465365.510941,4486622.793945,875194.575900,1104226.493164,234277.663310,289728.491211,4384.052737,100.000000,
19,0.821509,0.170215,0.987190,0.960565,0.960364,0.821509,4122.000429,5017.597900,154.572117,908.097572,753.428855,763.205406,1612.518536,1678.718353,1601.480920,1667.576569,4134.549340,4384.741801,0.936719,0.889484,0.895203,0.895432,0.930701,41283685.575427,44357646.663086,36098019.958082,38536662.235840,3944961.365194,4435111.582031,981514.603862,1096415.255371,259189.648288,289457.589844,4134.549340,100.000000,
20,0.529839,0.143217,0.565950,0.683703,0.619629,0.529839,2046.076074,3861.694653,116.175108,811.180355,371.357344,656.166611,799.606043,1169.521805,758.937578,1224.825882,4134.549340,4134.549340,0.339252,0.453549,0.465791,0.456739,0.359365,10946753.354974,30461399.272461,8553886.760910,25213996.687988,1815280.430783,4002389.335938,460011.376732,987591.236328,117574.786549,257422.012207,4134.549340,100.000000,
21,0.535088,0.170305,0.911826,0.584996,0.556053,0.535088,2338.792097,4370.852295,159.499738,936.554482,584.385096,640.895210,841.351908,1438.217377,753.555354,1355.185226,4405.502566,4557.354971,0.259993,0.360202,0.369600,0.356591,0.275154,11973887.030798,43517078.328125,9628840.454887,37034986.288086,1787813.277695,4963362.320801,445154.672408,1204423.927734,112078.625808,314305.791504,4405.502566,100.000000,
